"sample","virus","viral_only_reads","disease","cell_type"
"SRR22753416","HSV2_StrainG","2","Control","CD4"
"SRR22753416","KSHV","1","Control","CD4"
"SRR22753416","VZV_Ellen","0","Control","CD4"
"SRR22753417","combined_herpes_viruses","8","Control","CD4"
"SRR22753417","EBV","0","Control","CD4"
"SRR22753417","HCMV","1","Control","CD4"
"SRR22753417","HHV6B","1","Control","CD4"
"SRR22753417","HHV7","0","Control","CD4"
"SRR22753417","HSV1_KOS","9","Control","CD4"
"SRR22753417","HSV2_StrainG","12","Control","CD4"
"SRR22753417","KSHV","8","Control","CD4"
"SRR22753417","VZV_Ellen","0","Control","CD4"
"SRR22753418","combined_herpes_viruses","15","Control","CD4"
"SRR22753418","EBV","0","Control","CD4"
"SRR22753418","HCMV","1","Control","CD4"
"SRR22753418","HHV6B","0","Control","CD4"
"SRR22753418","HHV7","0","Control","CD4"
"SRR22753418","HSV1_KOS","10","Control","CD4"
"SRR22753418","HSV2_StrainG","3","Control","CD4"
"SRR22753418","KSHV","4","Control","CD4"
"SRR22753418","VZV_Ellen","0","Control","CD4"
"SRR22753419","combined_herpes_viruses","18","Control","CD19"
"SRR22753419","EBV","0","Control","CD19"
"SRR22753419","HCMV","0","Control","CD19"
"SRR22753419","HHV6B","0","Control","CD19"
"SRR22753419","HHV7","0","Control","CD19"
"SRR22753419","HSV1_KOS","23","Control","CD19"
"SRR22753419","HSV2_StrainG","12","Control","CD19"
"SRR22753419","KSHV","14","Control","CD19"
"SRR22753419","VZV_Ellen","0","Control","CD19"
"SRR22753420","combined_herpes_viruses","13","Control","CD19"
"SRR22753420","EBV","0","Control","CD19"
"SRR22753420","HCMV","0","Control","CD19"
"SRR22753420","HHV6B","1","Control","CD19"
"SRR22753420","HHV7","0","Control","CD19"
"SRR22753420","HSV1_KOS","23","Control","CD19"
"SRR22753420","HSV2_StrainG","7","Control","CD19"
"SRR22753420","KSHV","9","Control","CD19"
"SRR22753420","VZV_Ellen","0","Control","CD19"
"SRR22753421","combined_herpes_viruses","15","Control","CD19"
"SRR22753421","EBV","0","Control","CD19"
"SRR22753421","HCMV","0","Control","CD19"
"SRR22753421","HHV6B","0","Control","CD19"
"SRR22753421","HHV7","0","Control","CD19"
"SRR22753421","HSV1_KOS","21","Control","CD19"
"SRR22753421","HSV2_StrainG","9","Control","CD19"
"SRR22753421","KSHV","11","Control","CD19"
"SRR22753421","VZV_Ellen","0","Control","CD19"
"SRR22753422","combined_herpes_viruses","23","Control","CD19"
"SRR22753422","EBV","0","Control","CD19"
"SRR22753422","HCMV","0","Control","CD19"
"SRR22753422","HHV6B","1","Control","CD19"
"SRR22753422","HHV7","0","Control","CD19"
"SRR22753422","HSV1_KOS","27","Control","CD19"
"SRR22753422","HSV2_StrainG","10","Control","CD19"
"SRR22753422","KSHV","10","Control","CD19"
"SRR22753422","VZV_Ellen","0","Control","CD19"
"SRR22753423","combined_herpes_viruses","6","Juvenile Dermatomyositis","CD14"
"SRR22753423","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753423","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753423","HHV6B","4","Juvenile Dermatomyositis","CD14"
"SRR22753423","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753423","HSV1_KOS","7","Juvenile Dermatomyositis","CD14"
"SRR22753423","HSV2_StrainG","3","Juvenile Dermatomyositis","CD14"
"SRR22753423","KSHV","5","Juvenile Dermatomyositis","CD14"
"SRR22753423","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753424","combined_herpes_viruses","5","Juvenile Dermatomyositis","CD14"
"SRR22753424","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753424","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753424","HHV6B","2","Juvenile Dermatomyositis","CD14"
"SRR22753424","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753424","HSV1_KOS","11","Juvenile Dermatomyositis","CD14"
"SRR22753424","HSV2_StrainG","3","Juvenile Dermatomyositis","CD14"
"SRR22753424","KSHV","2","Juvenile Dermatomyositis","CD14"
"SRR22753424","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753425","combined_herpes_viruses","4","Juvenile Dermatomyositis","CD14"
"SRR22753425","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753425","HCMV","1","Juvenile Dermatomyositis","CD14"
"SRR22753425","HHV6B","5","Juvenile Dermatomyositis","CD14"
"SRR22753425","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753425","HSV1_KOS","12","Juvenile Dermatomyositis","CD14"
"SRR22753425","HSV2_StrainG","2","Juvenile Dermatomyositis","CD14"
"SRR22753425","KSHV","4","Juvenile Dermatomyositis","CD14"
"SRR22753425","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753426","combined_herpes_viruses","11","Juvenile Dermatomyositis","CD14"
"SRR22753426","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753426","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753426","HHV6B","4","Juvenile Dermatomyositis","CD14"
"SRR22753426","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753426","HSV1_KOS","10","Juvenile Dermatomyositis","CD14"
"SRR22753426","HSV2_StrainG","2","Juvenile Dermatomyositis","CD14"
"SRR22753426","KSHV","4","Juvenile Dermatomyositis","CD14"
"SRR22753426","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753427","combined_herpes_viruses","8","Juvenile Dermatomyositis","CD14"
"SRR22753427","EBV","1","Juvenile Dermatomyositis","CD14"
"SRR22753427","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753427","HHV6B","5","Juvenile Dermatomyositis","CD14"
"SRR22753427","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753427","HSV1_KOS","11","Juvenile Dermatomyositis","CD14"
"SRR22753427","HSV2_StrainG","4","Juvenile Dermatomyositis","CD14"
"SRR22753427","KSHV","3","Juvenile Dermatomyositis","CD14"
"SRR22753427","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753428","combined_herpes_viruses","10","Juvenile Dermatomyositis","CD14"
"SRR22753428","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753428","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753428","HHV6B","5","Juvenile Dermatomyositis","CD14"
"SRR22753428","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753428","HSV1_KOS","11","Juvenile Dermatomyositis","CD14"
"SRR22753428","HSV2_StrainG","3","Juvenile Dermatomyositis","CD14"
"SRR22753428","KSHV","3","Juvenile Dermatomyositis","CD14"
"SRR22753428","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753429","combined_herpes_viruses","7","Juvenile Dermatomyositis","CD14"
"SRR22753429","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753429","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753429","HHV6B","3","Juvenile Dermatomyositis","CD14"
"SRR22753429","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753429","HSV1_KOS","8","Juvenile Dermatomyositis","CD14"
"SRR22753429","HSV2_StrainG","1","Juvenile Dermatomyositis","CD14"
"SRR22753429","KSHV","1","Juvenile Dermatomyositis","CD14"
"SRR22753429","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753430","combined_herpes_viruses","7","Juvenile Dermatomyositis","CD14"
"SRR22753430","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753430","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753430","HHV6B","2","Juvenile Dermatomyositis","CD14"
"SRR22753430","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753430","HSV1_KOS","8","Juvenile Dermatomyositis","CD14"
"SRR22753430","HSV2_StrainG","7","Juvenile Dermatomyositis","CD14"
"SRR22753430","KSHV","4","Juvenile Dermatomyositis","CD14"
"SRR22753430","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753431","combined_herpes_viruses","12","Juvenile Dermatomyositis","CD8"
"SRR22753431","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753431","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753431","HHV6B","2","Juvenile Dermatomyositis","CD8"
"SRR22753431","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753431","HSV1_KOS","18","Juvenile Dermatomyositis","CD8"
"SRR22753431","HSV2_StrainG","3","Juvenile Dermatomyositis","CD8"
"SRR22753431","KSHV","6","Juvenile Dermatomyositis","CD8"
"SRR22753431","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753432","combined_herpes_viruses","14","Juvenile Dermatomyositis","CD8"
"SRR22753432","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753432","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753432","HHV6B","0","Juvenile Dermatomyositis","CD8"
"SRR22753432","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753432","HSV1_KOS","14","Juvenile Dermatomyositis","CD8"
"SRR22753432","HSV2_StrainG","2","Juvenile Dermatomyositis","CD8"
"SRR22753432","KSHV","2","Juvenile Dermatomyositis","CD8"
"SRR22753432","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753433","combined_herpes_viruses","10","Juvenile Dermatomyositis","CD8"
"SRR22753433","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753433","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753433","HHV6B","1","Juvenile Dermatomyositis","CD8"
"SRR22753433","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753433","HSV1_KOS","16","Juvenile Dermatomyositis","CD8"
"SRR22753433","HSV2_StrainG","3","Juvenile Dermatomyositis","CD8"
"SRR22753433","KSHV","6","Juvenile Dermatomyositis","CD8"
"SRR22753433","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753434","combined_herpes_viruses","19","Juvenile Dermatomyositis","CD8"
"SRR22753434","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753434","HCMV","2","Juvenile Dermatomyositis","CD8"
"SRR22753434","HHV6B","2","Juvenile Dermatomyositis","CD8"
"SRR22753434","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753434","HSV1_KOS","20","Juvenile Dermatomyositis","CD8"
"SRR22753434","HSV2_StrainG","3","Juvenile Dermatomyositis","CD8"
"SRR22753434","KSHV","9","Juvenile Dermatomyositis","CD8"
"SRR22753434","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753435","combined_herpes_viruses","16","Juvenile Dermatomyositis","CD8"
"SRR22753435","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753435","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753435","HHV6B","4","Juvenile Dermatomyositis","CD8"
"SRR22753435","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753435","HSV1_KOS","22","Juvenile Dermatomyositis","CD8"
"SRR22753435","HSV2_StrainG","1","Juvenile Dermatomyositis","CD8"
"SRR22753435","KSHV","5","Juvenile Dermatomyositis","CD8"
"SRR22753435","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753436","combined_herpes_viruses","18","Juvenile Dermatomyositis","CD8"
"SRR22753436","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753436","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753436","HHV6B","0","Juvenile Dermatomyositis","CD8"
"SRR22753436","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753436","HSV1_KOS","21","Juvenile Dermatomyositis","CD8"
"SRR22753436","HSV2_StrainG","2","Juvenile Dermatomyositis","CD8"
"SRR22753436","KSHV","8","Juvenile Dermatomyositis","CD8"
"SRR22753436","VZV_Ellen","1","Juvenile Dermatomyositis","CD8"
"SRR22753437","combined_herpes_viruses","13","Juvenile Dermatomyositis","CD8"
"SRR22753437","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753437","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753437","HHV6B","1","Juvenile Dermatomyositis","CD8"
"SRR22753437","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753437","HSV1_KOS","13","Juvenile Dermatomyositis","CD8"
"SRR22753437","HSV2_StrainG","1","Juvenile Dermatomyositis","CD8"
"SRR22753437","KSHV","0","Juvenile Dermatomyositis","CD8"
"SRR22753437","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","combined_herpes_viruses","10","Juvenile Dermatomyositis","CD8"
"SRR22753438","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","HHV6B","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","HSV1_KOS","19","Juvenile Dermatomyositis","CD8"
"SRR22753438","HSV2_StrainG","0","Juvenile Dermatomyositis","CD8"
"SRR22753438","KSHV","2","Juvenile Dermatomyositis","CD8"
"SRR22753438","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753439","combined_herpes_viruses","13","Juvenile Dermatomyositis","CD14"
"SRR22753439","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753439","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753439","HHV6B","1","Juvenile Dermatomyositis","CD14"
"SRR22753439","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753439","HSV1_KOS","13","Juvenile Dermatomyositis","CD14"
"SRR22753439","HSV2_StrainG","3","Juvenile Dermatomyositis","CD14"
"SRR22753439","KSHV","6","Juvenile Dermatomyositis","CD14"
"SRR22753439","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753440","combined_herpes_viruses","17","Juvenile Dermatomyositis","CD14"
"SRR22753440","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753440","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753440","HHV6B","0","Juvenile Dermatomyositis","CD14"
"SRR22753440","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753440","HSV1_KOS","25","Juvenile Dermatomyositis","CD14"
"SRR22753440","HSV2_StrainG","1","Juvenile Dermatomyositis","CD14"
"SRR22753440","KSHV","2","Juvenile Dermatomyositis","CD14"
"SRR22753440","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753441","combined_herpes_viruses","11","Juvenile Dermatomyositis","CD14"
"SRR22753441","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753441","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753441","HHV6B","0","Juvenile Dermatomyositis","CD14"
"SRR22753441","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753441","HSV1_KOS","22","Juvenile Dermatomyositis","CD14"
"SRR22753441","HSV2_StrainG","4","Juvenile Dermatomyositis","CD14"
"SRR22753441","KSHV","4","Juvenile Dermatomyositis","CD14"
"SRR22753441","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753442","combined_herpes_viruses","17","Juvenile Dermatomyositis","CD14"
"SRR22753442","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753442","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753442","HHV6B","2","Juvenile Dermatomyositis","CD14"
"SRR22753442","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753442","HSV1_KOS","43","Juvenile Dermatomyositis","CD14"
"SRR22753442","HSV2_StrainG","7","Juvenile Dermatomyositis","CD14"
"SRR22753442","KSHV","5","Juvenile Dermatomyositis","CD14"
"SRR22753442","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753443","combined_herpes_viruses","0","Juvenile Dermatomyositis","CD4"
"SRR22753443","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753443","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753443","HHV6B","2","Juvenile Dermatomyositis","CD4"
"SRR22753443","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753443","HSV1_KOS","3","Juvenile Dermatomyositis","CD4"
"SRR22753443","HSV2_StrainG","0","Juvenile Dermatomyositis","CD4"
"SRR22753443","KSHV","3","Juvenile Dermatomyositis","CD4"
"SRR22753443","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","combined_herpes_viruses","2","Juvenile Dermatomyositis","CD4"
"SRR22753444","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","HHV6B","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","HSV1_KOS","3","Juvenile Dermatomyositis","CD4"
"SRR22753444","HSV2_StrainG","0","Juvenile Dermatomyositis","CD4"
"SRR22753444","KSHV","3","Juvenile Dermatomyositis","CD4"
"SRR22753444","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753445","combined_herpes_viruses","3","Juvenile Dermatomyositis","CD4"
"SRR22753445","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753445","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753445","HHV6B","2","Juvenile Dermatomyositis","CD4"
"SRR22753445","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753445","HSV1_KOS","4","Juvenile Dermatomyositis","CD4"
"SRR22753445","HSV2_StrainG","0","Juvenile Dermatomyositis","CD4"
"SRR22753445","KSHV","1","Juvenile Dermatomyositis","CD4"
"SRR22753445","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753446","combined_herpes_viruses","2","Juvenile Dermatomyositis","CD4"
"SRR22753446","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753446","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753446","HHV6B","1","Juvenile Dermatomyositis","CD4"
"SRR22753446","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753446","HSV1_KOS","5","Juvenile Dermatomyositis","CD4"
"SRR22753446","HSV2_StrainG","3","Juvenile Dermatomyositis","CD4"
"SRR22753446","KSHV","0","Juvenile Dermatomyositis","CD4"
"SRR22753446","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753447","combined_herpes_viruses","10","Juvenile Dermatomyositis","CD19"
"SRR22753447","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753447","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753447","HHV6B","2","Juvenile Dermatomyositis","CD19"
"SRR22753447","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753447","HSV1_KOS","13","Juvenile Dermatomyositis","CD19"
"SRR22753447","HSV2_StrainG","8","Juvenile Dermatomyositis","CD19"
"SRR22753447","KSHV","8","Juvenile Dermatomyositis","CD19"
"SRR22753447","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753448","combined_herpes_viruses","12","Juvenile Dermatomyositis","CD19"
"SRR22753448","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753448","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753448","HHV6B","1","Juvenile Dermatomyositis","CD19"
"SRR22753448","HHV7","1","Juvenile Dermatomyositis","CD19"
"SRR22753448","HSV1_KOS","16","Juvenile Dermatomyositis","CD19"
"SRR22753448","HSV2_StrainG","0","Juvenile Dermatomyositis","CD19"
"SRR22753448","KSHV","6","Juvenile Dermatomyositis","CD19"
"SRR22753448","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753449","combined_herpes_viruses","9","Juvenile Dermatomyositis","CD19"
"SRR22753449","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753449","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753449","HHV6B","0","Juvenile Dermatomyositis","CD19"
"SRR22753449","HHV7","1","Juvenile Dermatomyositis","CD19"
"SRR22753449","HSV1_KOS","6","Juvenile Dermatomyositis","CD19"
"SRR22753449","HSV2_StrainG","1","Juvenile Dermatomyositis","CD19"
"SRR22753449","KSHV","9","Juvenile Dermatomyositis","CD19"
"SRR22753449","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753450","combined_herpes_viruses","9","Juvenile Dermatomyositis","CD19"
"SRR22753450","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753450","HCMV","1","Juvenile Dermatomyositis","CD19"
"SRR22753450","HHV6B","6","Juvenile Dermatomyositis","CD19"
"SRR22753450","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753450","HSV1_KOS","9","Juvenile Dermatomyositis","CD19"
"SRR22753450","HSV2_StrainG","1","Juvenile Dermatomyositis","CD19"
"SRR22753450","KSHV","11","Juvenile Dermatomyositis","CD19"
"SRR22753450","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753451","combined_herpes_viruses","12","Juvenile Dermatomyositis","CD8"
"SRR22753451","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753451","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753451","HHV6B","4","Juvenile Dermatomyositis","CD8"
"SRR22753451","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753451","HSV1_KOS","12","Juvenile Dermatomyositis","CD8"
"SRR22753451","HSV2_StrainG","7","Juvenile Dermatomyositis","CD8"
"SRR22753451","KSHV","5","Juvenile Dermatomyositis","CD8"
"SRR22753451","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753452","combined_herpes_viruses","20","Juvenile Dermatomyositis","CD8"
"SRR22753452","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753452","HCMV","3","Juvenile Dermatomyositis","CD8"
"SRR22753452","HHV6B","8","Juvenile Dermatomyositis","CD8"
"SRR22753452","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753452","HSV1_KOS","17","Juvenile Dermatomyositis","CD8"
"SRR22753452","HSV2_StrainG","3","Juvenile Dermatomyositis","CD8"
"SRR22753452","KSHV","5","Juvenile Dermatomyositis","CD8"
"SRR22753452","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753453","combined_herpes_viruses","9","Juvenile Dermatomyositis","CD8"
"SRR22753453","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753453","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753453","HHV6B","4","Juvenile Dermatomyositis","CD8"
"SRR22753453","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753453","HSV1_KOS","13","Juvenile Dermatomyositis","CD8"
"SRR22753453","HSV2_StrainG","2","Juvenile Dermatomyositis","CD8"
"SRR22753453","KSHV","9","Juvenile Dermatomyositis","CD8"
"SRR22753453","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753454","combined_herpes_viruses","14","Juvenile Dermatomyositis","CD8"
"SRR22753454","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753454","HCMV","2","Juvenile Dermatomyositis","CD8"
"SRR22753454","HHV6B","4","Juvenile Dermatomyositis","CD8"
"SRR22753454","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753454","HSV1_KOS","7","Juvenile Dermatomyositis","CD8"
"SRR22753454","HSV2_StrainG","4","Juvenile Dermatomyositis","CD8"
"SRR22753454","KSHV","7","Juvenile Dermatomyositis","CD8"
"SRR22753454","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753455","combined_herpes_viruses","30","Juvenile Dermatomyositis","CD4"
"SRR22753455","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753455","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753455","HHV6B","3","Juvenile Dermatomyositis","CD4"
"SRR22753455","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753455","HSV1_KOS","34","Juvenile Dermatomyositis","CD4"
"SRR22753455","HSV2_StrainG","16","Juvenile Dermatomyositis","CD4"
"SRR22753455","KSHV","25","Juvenile Dermatomyositis","CD4"
"SRR22753455","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753456","combined_herpes_viruses","243","Juvenile Dermatomyositis","CD4"
"SRR22753456","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753456","HCMV","1","Juvenile Dermatomyositis","CD4"
"SRR22753456","HHV6B","7","Juvenile Dermatomyositis","CD4"
"SRR22753456","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753456","HSV1_KOS","330","Juvenile Dermatomyositis","CD4"
"SRR22753456","HSV2_StrainG","6","Juvenile Dermatomyositis","CD4"
"SRR22753456","KSHV","12","Juvenile Dermatomyositis","CD4"
"SRR22753456","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753457","combined_herpes_viruses","135","Juvenile Dermatomyositis","CD19"
"SRR22753457","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753457","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753457","HHV6B","8","Juvenile Dermatomyositis","CD19"
"SRR22753457","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753457","HSV1_KOS","155","Juvenile Dermatomyositis","CD19"
"SRR22753457","HSV2_StrainG","3","Juvenile Dermatomyositis","CD19"
"SRR22753457","KSHV","11","Juvenile Dermatomyositis","CD19"
"SRR22753457","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753458","combined_herpes_viruses","80","Juvenile Dermatomyositis","CD14"
"SRR22753458","EBV","1","Juvenile Dermatomyositis","CD14"
"SRR22753458","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753458","HHV6B","7","Juvenile Dermatomyositis","CD14"
"SRR22753458","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753458","HSV1_KOS","99","Juvenile Dermatomyositis","CD14"
"SRR22753458","HSV2_StrainG","5","Juvenile Dermatomyositis","CD14"
"SRR22753458","KSHV","11","Juvenile Dermatomyositis","CD14"
"SRR22753458","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753459","combined_herpes_viruses","137","Juvenile Dermatomyositis","CD8"
"SRR22753459","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753459","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753459","HHV6B","6","Juvenile Dermatomyositis","CD8"
"SRR22753459","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753459","HSV1_KOS","166","Juvenile Dermatomyositis","CD8"
"SRR22753459","HSV2_StrainG","4","Juvenile Dermatomyositis","CD8"
"SRR22753459","KSHV","5","Juvenile Dermatomyositis","CD8"
"SRR22753459","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753460","combined_herpes_viruses","148","Juvenile Dermatomyositis","CD4"
"SRR22753460","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753460","HCMV","1","Juvenile Dermatomyositis","CD4"
"SRR22753460","HHV6B","6","Juvenile Dermatomyositis","CD4"
"SRR22753460","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753460","HSV1_KOS","201","Juvenile Dermatomyositis","CD4"
"SRR22753460","HSV2_StrainG","7","Juvenile Dermatomyositis","CD4"
"SRR22753460","KSHV","7","Juvenile Dermatomyositis","CD4"
"SRR22753460","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753461","combined_herpes_viruses","108","Juvenile Dermatomyositis","CD14"
"SRR22753461","EBV","1","Juvenile Dermatomyositis","CD14"
"SRR22753461","HCMV","4","Juvenile Dermatomyositis","CD14"
"SRR22753461","HHV6B","6","Juvenile Dermatomyositis","CD14"
"SRR22753461","HHV7","1","Juvenile Dermatomyositis","CD14"
